heroes,label,x,y,size
3-D Man,3,-0.2365015234253739,0.5302850880357122,12
Absorbing Man,3,-0.13837782024635792,0.2697174889580698,68
Abyss,4,-0.014586866362842876,-0.6539009136291546,8
Adam Warlock,0,-0.21265760505496448,0.10246906029272353,136
Agents of Atlas,3,-0.39445114208486715,0.499753719579316,32
Alicia Masters,0,0.3841391467512908,-0.02997891251014487,41
Alpha Flight,0,0.1264474802900657,-0.0739006384457646,193
Amadeus Cho,0,-0.07724319601043812,0.23163664594198752,89
Amiko,4,0.06311422945563128,-0.690056609357307,12
Ancient One,0,0.41136012021835344,0.11987766338746358,25
Annihilus,0,0.17407534724295232,0.10800939239233133,51
Apocalypse,4,-0.04004187238314753,-0.2918218602467126,94
Arachne,1,0.5189590172722357,0.529153206020754,6
Arcade,4,0.02438242222845701,-0.49025695609026776,29
Archangel,0,-0.09780362949365544,-0.010399319675102775,559
Arclight,4,-0.014586866362572844,-0.653900913629151,14
Ares,3,-0.14946846053764315,0.37685316680438846,55
Armory,3,-0.5285805123918753,0.4454754696005774,2
Aurora,4,0.09838488445371092,-0.45275669546311276,67
Avalanche,4,-0.16815265753947353,-0.41449383150657987,40
Avengers,1,0.1470877779824179,0.4267485650711374,1456
Banshee,4,0.03754016780896282,-0.4066809638879726,177
Baron Strucker,0,0.19379604505582523,-0.18167187285322664,41
Bastion,4,-0.05286704859322592,-0.5657717190401231,34
Beast,4,-0.12422454001457334,-0.22273861163497827,776
Ben Grimm,0,0.37126524325674953,0.035062430400387,35
Ben Urich,1,0.33957964544283487,0.4157905568753135,38
Beta-Ray Bill,0,0.02831878708726659,0.1633244474820777,32
Betty Brant,1,0.4355349283089159,0.5047439045832599,23
Bishop,4,-0.006682907871803311,-0.37670184572969617,269
Black Bolt,0,-0.3400563424988702,0.045349065406483084,139
Black Cat,1,0.3747564347948287,0.32764122541074114,130
Black Panther,3,-0.16923669022609508,0.4135819812877823,524
Black Tarantula,1,0.48846010842331516,0.4254958328018442,20
